England,33.00,26592,8264,805.8181818,153105454.5,22696783.84,130408670.7
East Midlands,3.00,2417,751,805.6666667,153076666.7,22688544.44,130388122.2
East of England,10.00,8058,2504,805.8,153102000,22694586.67,130407413.3
North East,3.00,2417,751,805.6666667,153076666.7,22688544.44,130388122.2
North West,9.00,7252,2253,805.7777778,153097777.8,22688544.44,130409233.3
London,0.00,0,0,0,0,0,0
South East,5.00,4029,1254,805.8,153102000,22730840,130371160
South West,0.00,0,0,0,0,0,0
West Midlands,0.00,0,0,0,0,0,0
Yorkshire and the Humber,3.00,2419,751,806.3333333,153203333.3,22688544.44,130514788.9
Northern Ireland,0.00,0,0,0,0,0,0
Scotland,7.00,3161,898,451.5714286,85798571.43,11626961.9,74171609.52
Wales,3.00,2223,724,741,140790000,21872844.44,118917155.6